region,season,year,subset,nsat,H_state3
AKcorr_6,winter,2021,A,1,0.3959861617075501
AKcorr_6,winter,2021,AB,2,0.5180615973442506
AKcorr_6,winter,2021,B,1,0.38577695566932735
AKcorr_6,winter,2025,A,1,0.31204140168659467
AKcorr_6,winter,2025,AC,2,0.31729662326085917
AKcorr_6,winter,2025,C,1,0.10614714526046479
AKcorr_6,winter,2026,A,1,0.43388011436057916
AKcorr_6,winter,2026,AC,2,0.5641827845769647
AKcorr_6,winter,2026,ACD,3,0.5641827845769647
AKcorr_6,winter,2026,AD,2,0.43388011436057916
AKcorr_6,winter,2026,C,1,0.4260949464847442
AKcorr_6,winter,2026,CD,2,0.4260949464847442
AKcorr_6,winter,2026,D,1,0.0
BaffinBay,freeze-up,2019,A,1,0.6290599635433108
BaffinBay,freeze-up,2019,AB,2,0.7947048718755506
BaffinBay,freeze-up,2019,B,1,0.6820002060717275
BaffinBay,freeze-up,2020,A,1,0.6701851431056867
BaffinBay,freeze-up,2020,AB,2,0.8267903492523313
BaffinBay,freeze-up,2020,B,1,0.707190146021793
BaffinBay,freeze-up,2021,A,1,0.674090920716008
BaffinBay,freeze-up,2021,AB,2,0.8131795981680275
BaffinBay,freeze-up,2021,B,1,0.7022315882223721
BaffinBay,freeze-up,2025,A,1,0.7161385953046201
BaffinBay,freeze-up,2025,AC,2,0.8462358326132106
BaffinBay,freeze-up,2025,C,1,0.7213780058750429
BaffinBay,melt,2019,A,1,0.4517491935321617
BaffinBay,melt,2019,AB,2,0.6036593918622526
BaffinBay,melt,2019,B,1,0.4919211057238219
BaffinBay,melt,2020,A,1,0.44900490667660264
BaffinBay,melt,2020,AB,2,0.6055505411311616
BaffinBay,melt,2020,B,1,0.4906493466245947
BaffinBay,melt,2021,A,1,0.49631428365038566
BaffinBay,melt,2021,AB,2,0.6365550688427579
BaffinBay,melt,2021,B,1,0.4998445666962337
BaffinBay,melt,2025,A,1,0.5210315953494834
BaffinBay,melt,2025,AC,2,0.6579632559724967
BaffinBay,melt,2025,C,1,0.5308675476506194
BaffinBay,melt,2026,A,1,0.509598662449326
BaffinBay,melt,2026,AC,2,0.5824693553903786
BaffinBay,melt,2026,ACD,3,0.6976508491553699
BaffinBay,melt,2026,AD,2,0.5701445691122928
BaffinBay,melt,2026,C,1,0.5041907982571328
BaffinBay,melt,2026,CD,2,0.6867852248671976
BaffinBay,melt,2026,D,1,0.556772314953314
BaffinBay,winter,2019,A,1,0.579194156732726
BaffinBay,winter,2019,AB,2,0.7974400817109062
BaffinBay,winter,2019,B,1,0.6768548777063812
BaffinBay,winter,2020,A,1,0.5505584628006058
BaffinBay,winter,2020,AB,2,0.7635558532432165
BaffinBay,winter,2020,B,1,0.646560813211895
BaffinBay,winter,2021,A,1,0.637531084161396
BaffinBay,winter,2021,AB,2,0.7972761851301671
BaffinBay,winter,2021,B,1,0.6277781623309273
BaffinBay,winter,2025,A,1,0.6320073970236951
BaffinBay,winter,2025,AC,2,0.6413833850806622
BaffinBay,winter,2025,C,1,0.6699176501480849
BaffinBay,winter,2026,A,1,0.6419616253970115
BaffinBay,winter,2026,AC,2,0.8113576134153492
BaffinBay,winter,2026,ACD,3,0.8113576134153492
BaffinBay,winter,2026,AD,2,0.6419616253970115
BaffinBay,winter,2026,C,1,0.6658844431541903
BaffinBay,winter,2026,CD,2,0.6658844431541903
BaffinBay,winter,2026,D,1,0.0
Barents_Svalbard,freeze-up,2019,A,1,0.7014929692248231
Barents_Svalbard,freeze-up,2019,AB,2,0.8117290230656963
Barents_Svalbard,freeze-up,2019,B,1,0.690825484678814
Barents_Svalbard,freeze-up,2020,A,1,0.7010407304444342
Barents_Svalbard,freeze-up,2020,AB,2,0.8111755317060264
Barents_Svalbard,freeze-up,2020,B,1,0.6895957116931827
Barents_Svalbard,freeze-up,2021,A,1,0.690711368784126
Barents_Svalbard,freeze-up,2021,AB,2,0.7955015443978829
Barents_Svalbard,freeze-up,2021,B,1,0.681489696894606
Barents_Svalbard,freeze-up,2025,A,1,0.6891925976423546
Barents_Svalbard,freeze-up,2025,AC,2,0.7456904004205411
Barents_Svalbard,freeze-up,2025,C,1,0.4725312800011688
Barents_Svalbard,melt,2019,A,1,0.5237978036501626
Barents_Svalbard,melt,2019,AB,2,0.6255230570958504
Barents_Svalbard,melt,2019,B,1,0.4968420695069821
Barents_Svalbard,melt,2020,A,1,0.5238805206477488
Barents_Svalbard,melt,2020,AB,2,0.627323145658312
Barents_Svalbard,melt,2020,B,1,0.5019876981117704
Barents_Svalbard,melt,2021,A,1,0.523031301636969
Barents_Svalbard,melt,2021,AB,2,0.6235847764170621
Barents_Svalbard,melt,2021,B,1,0.49240950884186113
Barents_Svalbard,melt,2025,A,1,0.4984753609438337
Barents_Svalbard,melt,2025,AC,2,0.5554294606695661
Barents_Svalbard,melt,2025,C,1,0.3452808634662053
Barents_Svalbard,melt,2026,A,1,0.49439146388235006
Barents_Svalbard,melt,2026,AC,2,0.3637626067269417
Barents_Svalbard,melt,2026,ACD,3,0.4988084494316436
Barents_Svalbard,melt,2026,AD,2,0.44154027943314705
Barents_Svalbard,melt,2026,C,1,0.24585771161797323
Barents_Svalbard,melt,2026,CD,2,0.44738078731888653
Barents_Svalbard,melt,2026,D,1,0.38779183631674474
Barents_Svalbard,winter,2019,A,1,0.6385946193080161
Barents_Svalbard,winter,2019,AB,2,0.7704589794669813
Barents_Svalbard,winter,2019,B,1,0.6238354101055725
Barents_Svalbard,winter,2020,A,1,0.6532862844282806
Barents_Svalbard,winter,2020,AB,2,0.787875824560176
Barents_Svalbard,winter,2020,B,1,0.6449213642320217
Barents_Svalbard,winter,2021,A,1,0.6540424045640486
Barents_Svalbard,winter,2021,AB,2,0.7878411560076336
Barents_Svalbard,winter,2021,B,1,0.6476842550965322
Barents_Svalbard,winter,2025,A,1,0.6583520075218895
Barents_Svalbard,winter,2025,AC,2,0.662307085914969
Barents_Svalbard,winter,2025,C,1,0.2581708730400737
Barents_Svalbard,winter,2026,A,1,0.6372090786026057
Barents_Svalbard,winter,2026,AC,2,0.6870304521936399
Barents_Svalbard,winter,2026,ACD,3,0.6870304521936399
Barents_Svalbard,winter,2026,AD,2,0.6372090786026057
