year,season,days_avail,days_total,mean_frac,region,availability
2020,winter,25,91,0.07283516483516483,LongStrait,0.27472527472527475
2021,freeze-up,12,92,0.024434782608695648,LongStrait,0.13043478260869565
2021,melt,2,122,0.002273224043715847,LongStrait,0.01639344262295082
2021,winter,20,90,0.06007407407407407,LongStrait,0.2222222222222222
2022,freeze-up,0,92,0.000536231884057971,LongStrait,0.0
2022,melt,0,122,0.0,LongStrait,0.0
2022,winter,0,90,0.0017333333333333333,LongStrait,0.0
2023,freeze-up,0,92,0.0002173913043478261,LongStrait,0.0
2023,melt,0,122,0.0,LongStrait,0.0
2023,winter,2,90,0.0030222222222222226,LongStrait,0.022222222222222223
2024,freeze-up,0,92,5.797101449275362e-05,LongStrait,0.0
2024,melt,0,122,0.0,LongStrait,0.0
2024,winter,0,91,0.0007619047619047618,LongStrait,0.0
2025,freeze-up,2,32,0.012208333333333335,LongStrait,0.0625
2025,melt,2,122,0.0018360655737704916,LongStrait,0.01639344262295082
2025,winter,2,90,0.006637037037037037,LongStrait,0.022222222222222223
2019,freeze-up,0,92,0.0008022774327122153,BeringChukchi,0.0
2019,melt,0,122,0.0,BeringChukchi,0.0
2019,winter,14,90,0.018465608465608466,BeringChukchi,0.15555555555555556
