region,year,season,dt_h,O,n_acq
AKcorr_2,2018,freeze-up,12,0.0,22
AKcorr_2,2018,freeze-up,24,0.0,22
AKcorr_2,2018,freeze-up,48,0.1297,22
AKcorr_2,2018,freeze-up,72,0.1297,22
AKcorr_2,2018,freeze-up,168,0.8698,22
AKcorr_2,2019,winter,6,0.0,22
AKcorr_2,2019,winter,12,0.0,22
AKcorr_2,2019,winter,24,0.0,22
AKcorr_2,2019,winter,48,0.1547,22
AKcorr_2,2019,winter,72,0.1547,22
AKcorr_2,2019,winter,168,0.9333,22
AKcorr_2,2019,shoulder,6,0.0,15
AKcorr_2,2019,shoulder,12,0.0,15
AKcorr_2,2019,shoulder,24,0.0,15
AKcorr_2,2019,shoulder,48,0.163,15
AKcorr_2,2019,shoulder,72,0.163,15
AKcorr_2,2019,shoulder,168,0.9342,15
AKcorr_2,2019,melt,6,0.0,31
AKcorr_2,2019,melt,12,0.0,31
AKcorr_2,2019,melt,24,0.0,31
AKcorr_2,2019,melt,48,0.163,31
AKcorr_2,2019,melt,72,0.163,31
AKcorr_2,2019,melt,168,0.9836,31
AKcorr_2,2019,freeze-up,6,0.0,22
AKcorr_2,2019,freeze-up,12,0.0,22
AKcorr_2,2019,freeze-up,24,0.0,22
AKcorr_2,2019,freeze-up,48,0.1513,22
AKcorr_2,2019,freeze-up,72,0.1513,22
AKcorr_2,2019,freeze-up,168,0.9131,22
AKcorr_2,2020,winter,6,0.0,23
AKcorr_2,2020,winter,12,0.0,23
AKcorr_2,2020,winter,24,0.0,23
AKcorr_2,2020,winter,48,0.1748,23
AKcorr_2,2020,winter,72,0.1748,23
AKcorr_2,2020,winter,168,0.8681,23
AKcorr_2,2020,shoulder,6,0.0,12
AKcorr_2,2020,shoulder,12,0.0,12
AKcorr_2,2020,shoulder,24,0.0,12
AKcorr_2,2020,shoulder,48,0.0652,12
AKcorr_2,2020,shoulder,72,0.0652,12
AKcorr_2,2020,shoulder,168,0.869,12
AKcorr_2,2020,melt,6,0.0,22
AKcorr_2,2020,melt,12,0.0,22
AKcorr_2,2020,melt,24,0.0,22
AKcorr_2,2020,melt,48,0.0652,22
AKcorr_2,2020,melt,72,0.0652,22
AKcorr_2,2020,melt,168,0.7459,22
AKcorr_2,2020,freeze-up,6,0.0,21
AKcorr_2,2020,freeze-up,12,0.0,21
AKcorr_2,2020,freeze-up,24,0.0,21
AKcorr_2,2020,freeze-up,48,0.1081,21
AKcorr_2,2020,freeze-up,72,0.1081,21
AKcorr_2,2020,freeze-up,168,0.8698,21
AKcorr_2,2021,winter,6,0.0,21
AKcorr_2,2021,winter,12,0.0,21
AKcorr_2,2021,winter,24,0.0,21
AKcorr_2,2021,winter,48,0.1547,21
AKcorr_2,2021,winter,72,0.1547,21
AKcorr_2,2021,winter,168,0.8556,21
AKcorr_2,2021,shoulder,6,0.0,14
AKcorr_2,2021,shoulder,12,0.0,14
AKcorr_2,2021,shoulder,24,0.0,14
AKcorr_2,2021,shoulder,48,0.0978,14
AKcorr_2,2021,shoulder,72,0.0978,14
AKcorr_2,2021,shoulder,168,0.9836,14
AKcorr_2,2021,melt,6,0.0,23
AKcorr_2,2021,melt,12,0.0,23
AKcorr_2,2021,melt,24,0.0,23
AKcorr_2,2021,melt,48,0.0489,23
AKcorr_2,2021,melt,72,0.0489,23
AKcorr_2,2021,melt,168,0.8689,23
AKcorr_2,2021,freeze-up,6,0.0,23
AKcorr_2,2021,freeze-up,12,0.0,23
AKcorr_2,2021,freeze-up,24,0.0,23
AKcorr_2,2021,freeze-up,48,0.1729,23
AKcorr_2,2021,freeze-up,72,0.1729,23
AKcorr_2,2021,freeze-up,168,0.9347,23
AKcorr_2,2022,winter,6,0.0,21
AKcorr_2,2022,winter,12,0.0,21
AKcorr_2,2022,winter,24,0.0,21
AKcorr_2,2022,winter,48,0.1326,21
AKcorr_2,2022,winter,72,0.1326,21
AKcorr_2,2022,winter,168,0.9333,21
AKcorr_2,2022,shoulder,6,0.0,10
AKcorr_2,2022,shoulder,12,0.0,10
AKcorr_2,2022,shoulder,24,0.0,10
AKcorr_2,2022,shoulder,48,0.0,10
AKcorr_2,2022,shoulder,72,0.0,10
AKcorr_2,2022,shoulder,168,0.869,10
AKcorr_2,2022,melt,6,0.0,20
AKcorr_2,2022,melt,12,0.0,20
AKcorr_2,2022,melt,24,0.0,20
AKcorr_2,2022,melt,48,0.0,20
AKcorr_2,2022,melt,72,0.0,20
AKcorr_2,2022,melt,168,0.9263,20
AKcorr_2,2022,freeze-up,6,0.0,15
AKcorr_2,2022,freeze-up,12,0.0,15
AKcorr_2,2022,freeze-up,24,0.0,15
AKcorr_2,2022,freeze-up,48,0.0216,15
AKcorr_2,2022,freeze-up,72,0.0216,15
AKcorr_2,2022,freeze-up,168,0.8042,15
AKcorr_2,2023,winter,6,0.0,15
AKcorr_2,2023,winter,12,0.0,15
AKcorr_2,2023,winter,24,0.0,15
AKcorr_2,2023,winter,48,0.0,15
AKcorr_2,2023,winter,72,0.0,15
AKcorr_2,2023,winter,168,0.9333,15
AKcorr_2,2023,shoulder,6,0.0,10
AKcorr_2,2023,shoulder,12,0.0,10
AKcorr_2,2023,shoulder,24,0.0,10
AKcorr_2,2023,shoulder,48,0.0,10
AKcorr_2,2023,shoulder,72,0.0,10
AKcorr_2,2023,shoulder,168,0.869,10
AKcorr_2,2023,melt,6,0.0,21
AKcorr_2,2023,melt,12,0.0,21
AKcorr_2,2023,melt,24,0.0,21
AKcorr_2,2023,melt,48,0.0,21
AKcorr_2,2023,melt,72,0.0,21
AKcorr_2,2023,melt,168,0.9836,21
AKcorr_2,2023,freeze-up,6,0.0,15
AKcorr_2,2023,freeze-up,12,0.0,15
AKcorr_2,2023,freeze-up,24,0.0,15
AKcorr_2,2023,freeze-up,48,0.0,15
AKcorr_2,2023,freeze-up,72,0.0,15
AKcorr_2,2023,freeze-up,168,0.9131,15
AKcorr_2,2024,winter,6,0.0,19
AKcorr_2,2024,winter,12,0.0,19
AKcorr_2,2024,winter,24,0.0,19
AKcorr_2,2024,winter,48,0.153,19
AKcorr_2,2024,winter,72,0.153,19
AKcorr_2,2024,winter,168,0.6043,19
AKcorr_2,2024,shoulder,6,0.0,12
AKcorr_2,2024,shoulder,12,0.0,12
AKcorr_2,2024,shoulder,24,0.0,12
AKcorr_2,2024,shoulder,48,0.0978,12
AKcorr_2,2024,shoulder,72,0.0978,12
AKcorr_2,2024,shoulder,168,0.7374,12
AKcorr_2,2024,melt,6,0.0,24
AKcorr_2,2024,melt,12,0.0,24
AKcorr_2,2024,melt,24,0.0,24
AKcorr_2,2024,melt,48,0.0815,24
AKcorr_2,2024,melt,72,0.0815,24
AKcorr_2,2024,melt,168,0.8032,24
